	Kingdom	Phyllum	Class	Order	Family	Genus	Species
ZOTU16367	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__uncultured	 s__
ZOTU6197	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Rubinisphaeraceae	 g__SH-PL14	 s__uncultured_bacterium
ZOTU10223	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__CCM11a	 f__CCM11a	 g__CCM11a	 s__uncultured_bacterium
ZOTU10298	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Labraceae	 g__Labrys	 s__metagenome
ZOTU17971	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Phaselicystidaceae	 g__	 s__
ZOTU11057	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__uncultured_bacterium
ZOTU15073	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	 s__uncultured_planctomycete
ZOTU12697	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__CCM11a	 f__CCM11a	 g__CCM11a	 s__
ZOTU11984	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Magnetospiraceae	 g__uncultured	 s__
ZOTU18920	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__
ZOTU864	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Ferruginibacter	 s__
ZOTU21301	 k__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Thermomicrobiales	 f__JG30-KF-CM45	 g__JG30-KF-CM45	 s__metagenome
ZOTU11576	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Parcubacteria	 f__Parcubacteria	 g__Parcubacteria	 s__uncultured_bacterium
ZOTU4322	 k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__RBG-13-54-9	 g__RBG-13-54-9	 s__uncultured_bacterium
ZOTU19209	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pir4_lineage	 s__
ZOTU18516	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__Telmatocola	 s__metagenome
ZOTU21364	 k__Bacteria	 p__Planctomycetota	 c__Pla4_lineage	 o__Pla4_lineage	 f__Pla4_lineage	 g__Pla4_lineage	 s__uncultured_bacterium
ZOTU22043	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__Saccharimonadales	 s__uncultured_bacterium
ZOTU14137	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Comamonas	 s__
ZOTU21018	 k__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Solibacterales	 f__Solibacteraceae	 g__Candidatus_Solibacter	 s__
ZOTU2766	 k__Bacteria	 p__Verrucomicrobiota	 c__Chlamydiae	 o__Chlamydiales	 f__Simkaniaceae	 g__uncultured	 s__metagenome
ZOTU1859	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__NS9_marine_group	 g__NS9_marine_group	 s__uncultured_bacterium
ZOTU7056	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Spirosomaceae	 g__Spirosoma	 s__Spirosoma_litoris
ZOTU19883	 k__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Chloroflexales	 f__Roseiflexaceae	 g__uncultured	 s__
ZOTU6025	 k__Bacteria	 p__NB1-j	 c__NB1-j	 o__NB1-j	 f__NB1-j	 g__NB1-j	 s__
ZOTU4953	 k__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU8494	 k__Bacteria	 p__Myxococcota	 c__bacteriap25	 o__bacteriap25	 f__bacteriap25	 g__bacteriap25	 s__
ZOTU19067	 k__Bacteria	 p__SAR324_clade	 c__0.8800	 o__Marine_group_B	 f__SAR324_clade	 g__0.6815	 s__
ZOTU20849	 k__Bacteria	 p__Armatimonadota	 c__Armatimonadia	 o__Armatimonadales	 f__Armatimonadales	 g__Armatimonadales	 s__uncultured_bacterium
ZOTU12064	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__uncultured_bacterium
ZOTU19111	 k__Bacteria	 p__Armatimonadota	 c__Fimbriimonadia	 o__Fimbriimonadales	 f__	 g__	 s__
ZOTU18801	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__Ohtaekwangia	 s__
ZOTU7813	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__uncultured	 g__uncultured	 s__
ZOTU16833	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Adlerbacteria	 f__Candidatus_Adlerbacteria	 g__Candidatus_Adlerbacteria	 s__
ZOTU492	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU9582	 k__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__uncultured	 s__
ZOTU10901	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__Fimbriiglobus	 s__uncultured_bacterium
ZOTU10753	 k__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Thermomicrobiales	 f__AKYG1722	 g__AKYG1722	 s__
ZOTU7105	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Luteolibacter	 s__uncultured_bacterium
ZOTU13534	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Ferruginibacter	 s__
ZOTU6492	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__Saccharimonadales	 s__uncultured_bacterium
ZOTU21177	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Hyphomicrobiaceae	 g__Pedomicrobium	 s__uncultured_bacterium
ZOTU11822	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae	 g__Aquicella	 s__
ZOTU2780	 k__Bacteria	 p__Armatimonadota	 c__Fimbriimonadia	 o__Fimbriimonadales	 f__Fimbriimonadaceae	 g__Fimbriimonadaceae	 s__uncultured_bacterium
ZOTU12370	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__uncultured_bacterium
ZOTU9800	 k__Bacteria	 p__	 c__	 o__	 f__	 g__	 s__
ZOTU16919	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	 s__
ZOTU5301	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__	 f__	 g__	 s__
ZOTU18591	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	 s__
ZOTU7000	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__
ZOTU21335	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micromonosporales	 f__Micromonosporaceae	 g__	 s__
ZOTU9522	 k__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Thermomicrobiales	 f__JG30-KF-CM45	 g__JG30-KF-CM45	 s__
ZOTU7872	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__uncultured_Syntrophobacteraceae
ZOTU13082	 k__Bacteria	 p__Acidobacteriota	 c__Subgroup_5	 o__Subgroup_5	 f__Subgroup_5	 g__Subgroup_5	 s__
ZOTU4878	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Methyloligellaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU1045	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Chthoniobacterales	 f__Chthoniobacteraceae	 g__Candidatus_Udaeobacter	 s__
ZOTU16642	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__SM2D12	 g__SM2D12	 s__metagenome
ZOTU4696	 k__Bacteria	 p__Gemmatimonadota	 c__BD2-11_terrestrial_group	 o__BD2-11_terrestrial_group	 f__BD2-11_terrestrial_group	 g__BD2-11_terrestrial_group	 s__
ZOTU4576	 k__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Gracilibacteria	 f__Gracilibacteria	 g__Gracilibacteria	 s__uncultured_bacterium
ZOTU2749	 k__Bacteria	 p__Elusimicrobiota	 c__Elusimicrobia	 o__MVP-88	 f__MVP-88	 g__MVP-88	 s__
ZOTU5332	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__Pedosphaeraceae	 s__
ZOTU19222	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Thermoactinomycetales	 f__Thermoactinomycetaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU4478	 k__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae	 g__Patulibacter	 s__uncultured_bacterium
ZOTU12243	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__S-70	 f__S-70	 g__S-70	 s__uncultured_planctomycete
ZOTU12514	 k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__
ZOTU21567	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU12027	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__uncultured_bacterium
ZOTU19649	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Nitrosomonadaceae	 g__Ellin6067	 s__uncultured_bacterium
ZOTU6021	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Nocardioides	 s__
ZOTU11297	 k__Bacteria	 p__Acidobacteriota	 c__Subgroup_5	 o__Subgroup_5	 f__Subgroup_5	 g__Subgroup_5	 s__
ZOTU5881	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Azambacteria	 f__Candidatus_Azambacteria	 g__Candidatus_Azambacteria	 s__
ZOTU7546	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU17818	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Parcubacteria	 f__Parcubacteria	 g__Parcubacteria	 s__wastewater_metagenome
ZOTU9885	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__uncultured_bacterium
ZOTU18934	 k__Bacteria	 p__Spirochaetota	 c__Spirochaetia	 o__Spirochaetales	 f__Spirochaetaceae	 g__Spirochaeta_2	 s__
ZOTU11665	 k__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Gaiellales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU13676	 k__Bacteria	 p__	 c__	 o__	 f__	 g__	 s__
ZOTU6290	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Parcubacteria	 f__	 g__	 s__
ZOTU5526	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Hyphomicrobiaceae	 g__Pedomicrobium	 s__
ZOTU19332	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__	 s__
ZOTU15396	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__uncultured_bacterium
ZOTU19333	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__Gemmata	 s__
ZOTU11357	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Gammaproteobacteria_Incertae_Sedis	 f__Unknown_Family	 g__Candidatus_Ovatusbacter	 s__uncultured_bacterium
ZOTU20472	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__	 s__
ZOTU16809	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__
ZOTU4571	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Roseomonas	 s__
ZOTU9670	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__mle1-8	 f__mle1-8	 g__mle1-8	 s__uncultured_bacterium
ZOTU21062	 k__Bacteria	 p__WS2	 c__WS2	 o__WS2	 f__WS2	 g__WS2	 s__
ZOTU8485	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Chthoniobacterales	 f__Chthoniobacteraceae	 g__Candidatus_Udaeobacter	 s__
ZOTU13214	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Blfdi19	 f__Blfdi19	 g__Blfdi19	 s__
ZOTU4829	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Subgroup_17	 f__Subgroup_17	 g__Subgroup_17	 s__
ZOTU3980	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU5608	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	 s__metagenome
ZOTU4754	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	 s__
ZOTU13383	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Legionellales	 f__Legionellaceae	 g__Legionella	 s__
ZOTU7256	 k__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__11-24	 f__11-24	 g__11-24	 s__uncultured_bacterium
ZOTU14698	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__	 g__	 s__
ZOTU2249	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Propionibacteriaceae	 g__	 s__
ZOTU8511	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__CPla-3_termite_group	 g__CPla-3_termite_group	 s__uncultured_soil
ZOTU1340	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Mucilaginibacter	 s__
ZOTU6788	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__	 f__	 g__	 s__
ZOTU6009	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__env.OPS_17	 g__env.OPS_17	 s__
ZOTU6092	 k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU5945	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__
ZOTU4918	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__	 s__
ZOTU10191	 k__Bacteria	 p__Myxococcota	 c__Myxococcia	 o__Myxococcales	 f__Myxococcaceae	 g__	 s__
ZOTU11895	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__NS11-12_marine_group	 g__NS11-12_marine_group	 s__
ZOTU16275	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pirellula	 s__
ZOTU15449	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__Pedosphaeraceae	 s__
ZOTU11545	 k__Bacteria	 p__	 c__	 o__	 f__	 g__	 s__
ZOTU4916	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pirellula	 s__uncultured_bacterium
ZOTU7182	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__Pedosphaeraceae	 s__uncultured_bacterium
ZOTU19183	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__uncultured	 f__uncultured	 g__uncultured	 s__metagenome
ZOTU12649	 k__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__
ZOTU17812	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__Pedosphaeraceae	 s__
ZOTU3645	 k__Bacteria	 p__Verrucomicrobiota	 c__Omnitrophia	 o__Omnitrophales	 f__Omnitrophaceae	 g__Candidatus_Omnitrophus	 s__uncultured_bacterium
ZOTU11998	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__Saccharimonadales	 s__uncultured_bacterium
ZOTU11008	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Legionellales	 f__Legionellaceae	 g__Legionella	 s__
ZOTU13114	 k__Bacteria	 p__Verrucomicrobiota	 c__Omnitrophia	 o__Omnitrophales	 f__Omnitrophales	 g__Omnitrophales	 s__uncultured_bacterium
ZOTU14711	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__	 f__	 g__	 s__
ZOTU8500	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__	 s__
ZOTU7637	 k__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__
ZOTU20443	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU8278	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU22103	 k__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__uncultured_bacterium
ZOTU21149	 k__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__OM27_clade	 s__
ZOTU15962	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU10080	 k__Bacteria	 p__Margulisbacteria	 c__Margulisbacteria	 o__Margulisbacteria	 f__	 g__	 s__
ZOTU6366	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__SM2D12	 g__SM2D12	 s__uncultured_bacterium
ZOTU7793	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Subgroup_17	 f__Subgroup_17	 g__Subgroup_17	 s__
ZOTU1572	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Ferribacterium	 s__
ZOTU19758	 k__Bacteria	 p__Cyanobacteria	 c__Sericytochromatia	 o__Sericytochromatia	 f__Sericytochromatia	 g__Sericytochromatia	 s__
ZOTU15711	 k__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__uncultured_bacterium
ZOTU16583	 k__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Bryobacterales	 f__Bryobacteraceae	 g__Bryobacter	 s__uncultured_bacterium
ZOTU7792	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Subgroup_17	 f__Subgroup_17	 g__Subgroup_17	 s__uncultured_soil
ZOTU5880	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__ADurb.Bin063-1	 s__
ZOTU2265	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Zoogloea	 s__uncultured_bacterium
ZOTU21912	 k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_bacterium
ZOTU13867	 k__Bacteria	 p__Elusimicrobiota	 c__Lineage_IIb	 o__Lineage_IIb	 f__Lineage_IIb	 g__Lineage_IIb	 s__uncultured_bacterium
ZOTU2091	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Moranbacteria	 f__Candidatus_Moranbacteria	 g__Candidatus_Moranbacteria	 s__
ZOTU20083	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Elsterales	 f__uncultured	 g__uncultured	 s__
ZOTU20447	 k__Bacteria	 p__Patescibacteria	 c__Berkelbacteria	 o__Berkelbacteria	 f__Berkelbacteria	 g__Berkelbacteria	 s__uncultured_soil
ZOTU11864	 k__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Iamiaceae	 g__Iamia	 s__uncultured_bacterium
ZOTU18015	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU16782	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__env.OPS_17	 g__env.OPS_17	 s__metagenome
ZOTU10048	 k__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__IMCC26256	 f__IMCC26256	 g__IMCC26256	 s__
ZOTU3930	 k__Bacteria	 p__Dadabacteria	 c__Dadabacteriia	 o__Dadabacteriales	 f__Dadabacteriales	 g__Dadabacteriales	 s__uncultured_bacterium
ZOTU20315	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU3990	 k__Bacteria	 p__Verrucomicrobiota	 c__Chlamydiae	 o__Chlamydiales	 f__	 g__	 s__
ZOTU18135	 k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
ZOTU8207	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__	 f__	 g__	 s__
ZOTU18742	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__Vicinamibacteraceae	 g__Vicinamibacteraceae	 s__
ZOTU11797	 k__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__uncultured_bacterium
ZOTU2956	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	 s__uncultured_bacterium
ZOTU19390	 k__Bacteria	 p__Patescibacteria	 c__ABY1	 o__	 f__	 g__	 s__
ZOTU9243	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caedibacterales	 f__Caedibacteraceae	 g__Candidatus_Nucleicultrix	 s__Candidatus_Nucleicultrix
ZOTU8253	 k__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	 g__Ilumatobacter	 s__
ZOTU15855	 k__Bacteria	 p__Spirochaetota	 c__Leptospirae	 o__Leptospirales	 f__Leptospiraceae	 g__Leptospira	 s__
ZOTU10771	 k__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__	 f__	 g__	 s__
ZOTU11403	 k__Bacteria	 p__Acidobacteriota	 c__	 o__	 f__	 g__	 s__
ZOTU14739	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Xanthomonadaceae	 g__Lysobacter	 s__
ZOTU7829	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__uncultured	 s__
ZOTU20659	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__	 f__	 g__	 s__
ZOTU20668	 k__Bacteria	 p__Sumerlaeota	 c__Sumerlaeia	 o__	 f__	 g__	 s__
ZOTU15236	 k__Bacteria	 p__	 c__	 o__	 f__	 g__	 s__
ZOTU19423	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Chthoniobacterales	 f__Chthoniobacteraceae	 g__Chthoniobacter	 s__
ZOTU16911	 k__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__IMCC26256	 f__IMCC26256	 g__IMCC26256	 s__
ZOTU10880	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Ga0077536	 f__Ga0077536	 g__Ga0077536	 s__
ZOTU13435	 k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_bacterium
ZOTU12300	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Nitrosomonadaceae	 g__MND1	 s__uncultured_bacterium
ZOTU4545	 k__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Candidatus_Peribacteria	 f__Candidatus_Peribacteria	 g__Candidatus_Peribacteria	 s__
ZOTU15717	 k__Bacteria	 p__Myxococcota	 c__Myxococcia	 o__Myxococcales	 f__Myxococcaceae	 g__uncultured	 s__
ZOTU14746	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Chthoniobacterales	 f__Chthoniobacteraceae	 g__Chthoniobacter	 s__
ZOTU7486	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Anaplasmataceae	 g__Wolbachia	 s__
ZOTU8252	 k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
