	Kingdom	Phyllum	Class	Order	Family	Genus	Species	Bd_inhib
ZOTU16422	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Candidatus_Peribacteria	f__Candidatus_Peribacteria	g__Candidatus_Peribacteria	s__uncultured_bacterium	no_unhib
ZOTU20806	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Candidatus_Peribacteria	f__Candidatus_Peribacteria	g__Candidatus_Peribacteria	s__uncultured_bacterium	no_unhib
ZOTU13758	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Candidatus_Peribacteria	f__Candidatus_Peribacteria	g__Candidatus_Peribacteria	s__uncultured_bacterium	no_unhib
ZOTU14360	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Candidatus_Peribacteria	f__Candidatus_Peribacteria	g__Candidatus_Peribacteria	s__uncultured_bacterium	no_unhib
ZOTU18617	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Candidatus_Peribacteria	f__Candidatus_Peribacteria	g__Candidatus_Peribacteria	s__uncultured_bacterium	no_unhib
ZOTU1124	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Gracilibacteria	f__Gracilibacteria	g__Gracilibacteria	g__Gracilibacteria	no_unhib
ZOTU12657	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Gracilibacteria	f__Gracilibacteria	g__Gracilibacteria	g__Gracilibacteria	no_unhib
ZOTU7869	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Gracilibacteria	f__Gracilibacteria	g__Gracilibacteria	g__Gracilibacteria	no_unhib
ZOTU1837	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Gracilibacteria	f__Gracilibacteria	g__Gracilibacteria	s__metagenome	no_unhib
ZOTU15683	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Gracilibacteria	f__Gracilibacteria	g__Gracilibacteria	s__metagenome	no_unhib
ZOTU1277	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Gracilibacteria	f__Gracilibacteria	g__Gracilibacteria	s__uncultured_bacterium	no_unhib
ZOTU4576	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Gracilibacteria	f__Gracilibacteria	g__Gracilibacteria	s__uncultured_bacterium	no_unhib
ZOTU17534	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Gracilibacteria	f__Gracilibacteria	g__Gracilibacteria	s__uncultured_bacterium	no_unhib
ZOTU13206	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Gracilibacteria	f__Gracilibacteria	g__Gracilibacteria	s__uncultured_Microgenomates	no_unhib
ZOTU21997	k__Bacteria	p__Patescibacteria	c__Gracilibacteria	o__Gracilibacteria	o__Gracilibacteria	o__Gracilibacteria	o__Gracilibacteria	no_unhib
ZOTU13192	k__Bacteria	p__Patescibacteria	c__Kazania	o__Kazania	f__Kazania	f__Kazania	f__Kazania	no_unhib
ZOTU10466	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU4485	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU4231	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU1516	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU20939	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU15270	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU14348	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU9117	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU1719	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU14942	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU882	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU2950	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU6045	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU3332	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU3861	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU5648	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU3358	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU5156	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU6958	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU5301	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU14711	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU6639	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU10833	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU14959	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU5610	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU16710	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU3354	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU6898	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU3241	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU8031	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU6144	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU5511	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU20035	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU5275	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU19534	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU2703	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU6902	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU21321	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU21138	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU10555	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU10975	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU6807	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU14308	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU19908	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU14708	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU655	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU5545	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU4251	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU6841	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU9740	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU12793	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU5852	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU18167	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU16239	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU12108	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU20501	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU1962	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU12285	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU17188	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU14433	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU12981	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU12854	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU6578	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU18218	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU9360	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU16393	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU7871	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU9647	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU6786	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU15329	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU11388	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU12470	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU10622	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU13147	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU17811	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU9774	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU9656	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU10524	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU14171	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU20822	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU21682	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU15252	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU6468	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU13798	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU18805	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU18590	k__Bacteria	p__Patescibacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	c__Parcubacteria	no_unhib
ZOTU17832	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	no_unhib
ZOTU8161	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU3940	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU17276	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU17449	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU8279	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU16833	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU11393	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU8182	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU12972	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU12999	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU8020	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU6689	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU15917	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU12024	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU15591	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU19951	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	no_unhib
ZOTU14885	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__metagenome	no_unhib
ZOTU5350	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__metagenome	no_unhib
ZOTU6862	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__metagenome	no_unhib
ZOTU10065	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__metagenome	no_unhib
ZOTU15662	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__metagenome	no_unhib
ZOTU13615	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__metagenome	no_unhib
ZOTU14490	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__uncultured_bacterium	no_unhib
ZOTU5673	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__uncultured_bacterium	no_unhib
ZOTU1557	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__uncultured_bacterium	no_unhib
ZOTU16395	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__uncultured_bacterium	no_unhib
ZOTU3642	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__uncultured_bacterium	no_unhib
ZOTU13161	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__uncultured_bacterium	no_unhib
ZOTU6257	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__uncultured_bacterium	no_unhib
ZOTU6857	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__uncultured_bacterium	no_unhib
ZOTU3026	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__uncultured_bacterium	no_unhib
ZOTU8216	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__uncultured_bacterium	no_unhib
ZOTU7292	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	f__Candidatus_Adlerbacteria	g__Candidatus_Adlerbacteria	s__uncultured_bacterium	no_unhib
ZOTU12361	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Adlerbacteria	o__Candidatus_Adlerbacteria	o__Candidatus_Adlerbacteria	o__Candidatus_Adlerbacteria	no_unhib
ZOTU17831	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Azambacteria	f__Candidatus_Azambacteria	g__Candidatus_Azambacteria	g__Candidatus_Azambacteria	no_unhib
ZOTU21341	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Azambacteria	f__Candidatus_Azambacteria	g__Candidatus_Azambacteria	g__Candidatus_Azambacteria	no_unhib
ZOTU5881	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Azambacteria	f__Candidatus_Azambacteria	g__Candidatus_Azambacteria	g__Candidatus_Azambacteria	no_unhib
ZOTU16745	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Azambacteria	f__Candidatus_Azambacteria	g__Candidatus_Azambacteria	g__Candidatus_Azambacteria	no_unhib
ZOTU15069	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Azambacteria	f__Candidatus_Azambacteria	g__Candidatus_Azambacteria	g__Candidatus_Azambacteria	no_unhib
ZOTU2313	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Azambacteria	f__Candidatus_Azambacteria	g__Candidatus_Azambacteria	g__Candidatus_Azambacteria	no_unhib
ZOTU9288	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Azambacteria	f__Candidatus_Azambacteria	g__Candidatus_Azambacteria	g__Candidatus_Azambacteria	no_unhib
ZOTU20618	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Azambacteria	f__Candidatus_Azambacteria	g__Candidatus_Azambacteria	g__Candidatus_Azambacteria	no_unhib
ZOTU8331	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Azambacteria	f__Candidatus_Azambacteria	g__Candidatus_Azambacteria	g__Candidatus_Azambacteria	no_unhib
ZOTU16120	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Campbellbacteria	f__Candidatus_Campbellbacteria	f__Candidatus_Campbellbacteria	f__Candidatus_Campbellbacteria	no_unhib
ZOTU10761	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Colwellbacteria	f__Candidatus_Colwellbacteria	g__Candidatus_Colwellbacteria	s__Candidatus_Colwellbacteria	no_unhib
ZOTU16895	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Giovannonibacteria	f__Candidatus_Giovannonibacteria	g__Candidatus_Giovannonibacteria	s__Candidatus_Giovannonibacteria	no_unhib
ZOTU21679	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Jorgensenbacteria	f__Candidatus_Jorgensenbacteria	g__Candidatus_Jorgensenbacteria	s__Candidatus_Adlerbacteria	no_unhib
ZOTU6147	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Jorgensenbacteria	f__Candidatus_Jorgensenbacteria	g__Candidatus_Jorgensenbacteria	s__Candidatus_Adlerbacteria	no_unhib
ZOTU3151	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Jorgensenbacteria	o__Candidatus_Jorgensenbacteria	o__Candidatus_Jorgensenbacteria	o__Candidatus_Jorgensenbacteria	no_unhib
ZOTU17166	k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Jorgensenbacteria	o__Candidatus_Jorgensenbacteria	o__Candidatus_Jorgensenbacteria	o__Candidatus_Jorgensenbacteria	no_unhib
