	SID	Adult	Side	GruopID	Posit_ctrl	Neg_ctrl	Test	biol_fath	biol_moth	fost_fath	fost_moth	MaleID	FemaleID	S1	S2	S3	S4	S5	S6	S9	S10	S12	S15	S16	S17	S18	S19	S23	S24	S26	S28	S29	S34	S35	S37	S39	S40	S42	S43	S48	S49	S50	S52	Set1	Set2	Set3	Set4	date
S396	S	no	no	TP	0	1	0	605	679	605	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	40	40	40	1/6/2022
S397	S	no	no	TP	0	1	0	605	679	605	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	40	40	40	1/6/2022
S398	S	no	no	TP	0	1	0	605	679	605	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	40	40	40	1/6/2022
S399	S	no	no	TP	0	1	0	605	679	605	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	40	40	40	1/6/2022
S400	S	no	no	TP	0	1	0	605	679	605	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	40	40	40	1/6/2022
S402a	d	no	no	METAMORPH	0	1	0	422	410	422	410	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	7/6/2022
S402b	d	no	no	METAMORPH	0	1	0	422	410	422	410	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	7/6/2022
S403	S	no	no	METAMORPH	1	0	0	431	441	431	441	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	12	6/6/2022
S404	S	no	no	METAMORPH	1	0	0	678	681	678	681	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	7/6/2022
S405a	d	no	no	METAMORPH	1	0	0	678	681	678	681	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	7/6/2022
S405b	d	no	no	METAMORPH	1	0	0	678	681	678	681	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	7/6/2022
S408	S	no	no	METAMORPH	0	1	0	678	681	678	681	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	7/6/2022
S412	S	no	no	METAMORPH	0	1	0	422	410	422	410	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	7/6/2022
