	SID	Adult	Side	GruopID	Posit_ctrl	Neg_ctrl	Test	biol_fath	biol_moth	fost_fath	fost_moth	MaleID	FemaleID	S1	S2	S3	S4	S5	S6	S9	S10	S12	S15	S16	S17	S18	S19	S23	S24	S26	S28	S29	S34	S35	S37	S39	S40	S42	S43	S48	S49	S50	S52	Set1	Set2	Set3	Set4	date
S070b	d	no	no	CLW2	0	0	1	620	642	605	610	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	14/3/2022
S073	S	no	no	CLW1	1	0	0	673	676	673	676	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	14/3/2022
S076	S	no	no	WATER	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	5	5	14/3/2022
S077	S	no	no	WATER	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	16/3/2022
S082	S	no	no	CLW2	1	0	0	424	501	424	501	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	16/3/2022
S083a	d	no	no	CLW2	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	16/3/2022
S083b	d	no	no	CLW2	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	16/3/2022
S085a	d	no	no	WATER	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	9	9	16/3/2022
S085b	d	no	no	WATER	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	9	9	16/3/2022
S089a	d	no	no	WATER	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	12	16/3/2022
S089b	d	no	no	WATER	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	12	16/3/2022
S090	S	no	no	CLW1	0	1	0	507	717	507	717	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	18/3/2022
S092a	d	no	no	CLW1	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	16	16/3/2022
S092b	d	no	no	CLW1	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	16	16/3/2022
S094	S	no	no	WATER	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	16/3/2022
S095	S	no	no	ENVIRONMENT	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	14/3/2022
S097	S	no	no	CLW1	0	0	1	247	250	620	642	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	14/3/2022
S098a	d	no	no	WATER	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	14/3/2022
S098b	d	no	no	WATER	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	14/3/2022
S099	S	no	no	ENVIRONMENT	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	18/3/2022
S115	S	no	no	CLW2	0	1	0	507	717	507	717	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	25/3/2022
S118	S	no	no	ENVIRONMENT	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	5/4/2022
S120	S	no	no	WATER	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	17	16	16	25/3/2022
S121a	d	no	no	CLW2	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	23/3/2022
S121b	d	no	no	CLW2	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	23/3/2022
S124a	d	no	no	ENVIRONMENT	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	19	19	25/3/2022
S124b	d	no	no	ENVIRONMENT	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	19	19	25/3/2022
S125	S	no	no	CLW1	1	0	0	415	413	415	413	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	19	19	25/3/2022
S127	S	no	no	CLW2	1	0	0	673	676	673	676	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	25/3/2022
S128a	d	no	no	CLW2	0	0	1	247	250	620	642	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	21/3/2022
S128b	d	no	no	CLW2	0	0	1	247	250	620	642	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	21/3/2022
S129	S	no	no	CLW1	0	0	1	730	736	235	731	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	5/4/2022
S130a	d	no	no	CLW2	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	16	23/3/2022
S130b	d	no	no	CLW2	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	16	23/3/2022
S132	S	no	no	WATER	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	25/3/2022
S134	S	no	no	CLW1	0	0	1	621	730	715	741	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	5/4/2022
S138	S	no	no	WATER	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	25/3/2022
S139a	d	no	no	CLW1	0	0	1	235	731	730	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	5/4/2022
S139b	d	no	no	CLW1	0	0	1	235	731	730	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	5/4/2022
S142	S	no	no	Controlseq	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/4/2022
S145	S	no	no	TP	0	0	1	620	642	605	610	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	8/4/2022
S147	S	no	no	TP	1	0	0	673	676	673	676	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	8/4/2022
S148	S	no	no	TP	0	0	1	620	642	605	610	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	8/4/2022
S149	S	no	no	TP	0	0	1	620	642	605	610	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	8/4/2022
S150	S	no	no	TP	0	0	1	620	642	605	610	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	8/4/2022
S155	S	no	no	TP	1	0	0	431	441	431	441	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	12	5/4/2022
S158	S	no	no	TP	1	0	0	678	681	678	681	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5/4/2022
S160	S	no	no	TP	1	0	0	678	681	678	681	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5/4/2022
S161	S	no	no	TP	1	0	0	678	681	678	681	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5/4/2022
S162	S	no	no	TP	0	1	0	678	681	678	681	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	5/4/2022
S163	S	no	no	TP	0	1	0	678	681	678	681	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	5/4/2022
S164	S	no	no	TP	0	1	0	678	681	678	681	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	5/4/2022
S165	S	no	no	TP	0	1	0	678	681	678	681	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	5/4/2022
S166	S	no	no	TP	0	1	0	678	681	678	681	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	5/4/2022
S167	S	no	no	TP	1	0	0	673	676	673	676	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	8/4/2022
S168	S	no	no	TP	1	0	0	673	676	673	676	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	8/4/2022
S169	S	no	no	TP	1	0	0	673	676	673	676	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	8/4/2022
S170	S	no	no	TP	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	12/4/2022
S171	S	no	no	TP	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	12/4/2022
S172	S	no	no	TP	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	12/4/2022
S173	S	no	no	TP	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	12/4/2022
S176	S	no	no	TP	1	0	0	424	501	424	501	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	12/4/2022
S177a	d	no	no	CLW2	0	0	1	730	736	235	731	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	12/4/2022
S177b	d	no	no	CLW2	0	0	1	730	736	235	731	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	12/4/2022
S179	S	no	no	CLW2	1	0	0	415	413	415	413	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	19	19	12/4/2022
S180a	d	no	no	CLW2	0	0	1	235	731	730	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	12/4/2022
S180b	d	no	no	CLW2	0	0	1	235	731	730	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	12/4/2022
S185	S	no	no	TP	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	16	19/4/2022
S186	S	no	no	TP	0	1	0	422	410	422	410	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	19/4/2022
S187a	d	no	no	TP	0	1	0	422	410	422	410	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	19/4/2022
S187b	d	no	no	TP	0	1	0	422	410	422	410	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	19/4/2022
S188a	d	no	no	TP	0	1	0	422	410	422	410	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	19/4/2022
S188b	d	no	no	TP	0	1	0	422	410	422	410	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	19/4/2022
S189	S	no	no	TP	1	0	0	715	650	715	650	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	19/4/2022
S190	S	no	no	WATER	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	12/4/2022
S191	S	no	no	TP	0	1	0	422	410	422	410	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	19/4/2022
S194	S	no	no	TP	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	16	19/4/2022
S197	S	no	no	TP	1	0	0	715	650	715	650	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	19/4/2022
S199	S	no	no	TP	1	0	0	715	650	715	650	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	19/4/2022
S200	S	no	no	CLW2	0	0	1	621	730	715	741	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	12/4/2022
S203	S	no	no	TP	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	24/4/2022
S204	S	no	no	TP	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	24/4/2022
S205	S	no	no	TP	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	24/4/2022
S208	S	no	no	TP	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	24/4/2022
S210	S	no	no	TP	0	1	0	507	717	507	717	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	24/4/2022
S211	S	no	no	TP	0	1	0	507	717	507	717	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	24/4/2022
S212	S	no	no	TP	0	1	0	507	717	507	717	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	24/4/2022
S214	S	no	no	TP	0	1	0	507	717	507	717	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	24/4/2022
S216	S	no	no	TP	0	0	1	247	250	620	642	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	24/4/2022
S218	S	no	no	TP	0	0	1	247	250	620	642	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	24/4/2022
S220a	d	no	no	CLW1	0	0	1	754	742	422	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	24/4/2022
S220b	d	no	no	CLW1	0	0	1	754	742	422	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	24/4/2022
S227a	d	no	no	CLW1	0	0	1	424	731	405	401	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	24/4/2022
S227b	d	no	no	CLW1	0	0	1	424	731	405	401	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	24/4/2022
S236	S	no	no	WATER	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	24/4/2022
S237	S	no	no	TP	1	0	0	415	413	415	413	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	19	19	30/4/2022
S238	S	no	no	TP	1	0	0	415	413	415	413	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	19	19	30/4/2022
S246	S	no	no	ENVIRONMENT	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	34	39	34	34	30/4/2022
S247a	d	no	no	CLW1	1	0	0	675	679	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	34	34	34	30/4/2022
S247b	d	no	no	CLW1	1	0	0	675	679	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	34	34	34	30/4/2022
S252a	d	no	no	Controlseq	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24/4/2022
S252b	d	no	no	Controlseq	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24/4/2022
S253a	d	no	no	ENVIRONMENT	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	30/4/2022
S253b	d	no	no	ENVIRONMENT	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	30/4/2022
S254	S	no	no	CLW1	0	1	0	658	663	658	663	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	30/4/2022
S262	S	Female	Ventral	FV	1	0	0	1	1	1	1	1	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	30/4/2022
S264	S	no	no	CLW1	1	0	0	682	742	682	742	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	30/4/2022
S265a	d	no	no	CLW2	1	0	0	675	679	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	34	34	34	2/5/2022
S265b	d	no	no	CLW2	1	0	0	675	679	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	34	34	34	2/5/2022
S266	S	no	no	WATER	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	34	34	34	2/5/2022
S269	S	no	no	CLW2	0	1	0	658	663	658	663	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	4/5/2022
S270	S	no	no	WATER	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	4/5/2022
S271a	d	no	no	CLW2	0	0	1	754	742	422	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	4/5/2022
S271b	d	no	no	CLW2	0	0	1	754	742	422	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	4/5/2022
S272	S	no	no	WATER	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	4/5/2022
S276	S	no	no	CLW1	0	0	1	730	742	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	39	39	39	39	5/5/2022
S277	S	no	no	TP	0	0	1	235	731	730	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	7/5/2022
S278	S	no	no	TP	0	0	1	235	731	730	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	7/5/2022
S279	S	no	no	TP	0	0	1	730	736	235	731	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	7/5/2022
S280	S	no	no	TP	0	0	1	730	736	235	731	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	7/5/2022
S281	S	no	no	TP	0	0	1	730	736	235	731	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	7/5/2022
S283	S	no	no	TP	0	0	1	621	730	715	741	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	7/5/2022
S284	S	no	no	TP	0	0	1	621	730	715	741	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	7/5/2022
S285	S	no	no	TP	0	0	1	621	730	715	741	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	7/5/2022
S289a	d	no	no	WATER	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	9/5/2022
S289b	d	no	no	WATER	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	9/5/2022
S290a	d	no	no	CLW1	0	1	0	605	679	605	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	40	40	40	9/5/2022
S290b	d	no	no	CLW1	0	1	0	605	679	605	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	40	40	40	9/5/2022
S298a	d	no	no	WATER	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	43	43	43	9/5/2022
